frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
54,40,64,6,4,39038,40034,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,36248,42178,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,58084,30455,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,42178,36248,0,1,1,0,1,0,,,,,,,suspicious
66,52,64,6,4,41168,139,0,1,1,0,1,64512,,,,,,,suspicious
66,52,64,6,4,43746,443,0,1,1,0,1,64512,,,,,,,suspicious
66,52,64,6,4,39894,143,0,1,1,0,1,64512,,,,,,,suspicious
54,40,64,6,4,30455,58084,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,46558,10755,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,48104,38400,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,33288,22040,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,10755,46558,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,38400,48104,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,56984,61859,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,22040,33288,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,61859,56984,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,41784,35062,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,59086,62155,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,35062,41784,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,62155,59086,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,46964,14766,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,33510,45230,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,14766,46964,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,45230,33510,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,40048,56934,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,50302,18991,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,56934,40048,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,38478,4827,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,18991,50302,0,1,1,0,1,0,,,,,,,suspicious
54,40,64,6,4,4827,38478,0,1,1,0,1,0,,,,,,,suspicious
74,60,64,6,4,35672,65534,0,0,0,0,0,64240,,,,,,,suspicious
74,60,64,6,4,43786,43391,0,0,0,0,0,64240,,,,,,,suspicious
54,40,64,6,4,65534,35672,0,1,1,0,1,0,,,,,,,suspicious
